dataset,avg_overlap,avg_rank_shift
120_1920,0.9466808059384942,1.2667514370401292
120_1930,0.942948038176034,1.360792838624415
120_1940,0.944135737009544,1.3174231553656421
120_1950,0.9379003181336162,1.468758794522157
120_1960,0.9419724284199363,1.404440368358846
120_1970,0.9393001060445388,1.4457991957173615
120_1980,0.9345068928950159,1.4979929097356173
120_1990,0.9396394485683988,1.4361424872207806
40_1920,0.9873594909862142,0.33941598659842936
40_1930,0.9421420996818665,1.369682352858826
40_1940,0.9436691410392365,1.3216851551677775
40_1950,0.9372216330858961,1.4805179636932153
40_1960,0.9416755037115588,1.4156055915075756
40_1970,0.9387062566277837,1.4537001543370474
40_1980,0.9345493107104985,1.506896805654379
40_1990,0.9395970307529162,1.4365921290070203
80_1920,0.9457900318133616,1.3086935621819684
80_1930,0.9428207847295865,1.3604665069005055
80_1940,0.943966065747614,1.317765272585209
80_1950,0.9375609756097562,1.4701812370875629
80_1960,0.9418451749734889,1.4077588568539219
80_1970,0.9390455991516438,1.447624329095574
80_1980,0.9345493107104984,1.5003899303988582
80_1990,0.9396394485683988,1.4363617404263282
